sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.012;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@62;TheNegotiatorReloaded@63;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.390;176;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;IAMhaggler2012@64;TheNegotiatorReloaded@65;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
3.847;180;;180rounds;Yes;No;2;0.67917;0.81196;0.14033;0.15747;1.49113;NiceTitForTat@66;TheNegotiatorReloaded@67;0.6791666666666666;0.8119626015319312;0.6791666666666666;0.8119626015319312;0.0;0.0;party1_utility.xml;party2_utility.xml
0.693;181;;180rounds;Yes;No;2;0.78500;0.90411;0.00000;0.02445;1.68911;Gahboninho@68;TheNegotiatorReloaded@69;0.7850000000000001;0.9041140069845697;0.7850000000000001;0.9041140069845697;0.0;0.0;party1_utility.xml;party2_utility.xml
0.699;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@70;TheNegotiatorReloaded@71;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.275;111;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Group8_BoaParty@72;IAMhaggler2012@73;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.0;party1_utility.xml;party2_utility.xml
2.846;130;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Yushu@74;IAMhaggler2012@75;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
4.941;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@76;IAMhaggler2012@77;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
3.630;177;;180rounds;Yes;No;2;0.54227;0.91167;0.07924;0.40653;1.45394;TheNegotiatorReloaded@78;IAMhaggler2012@79;0.9116666666666667;0.5422699184244845;0.9116666666666667;0.5422699184244845;0.0;0.0;party1_utility.xml;party2_utility.xml
0.013;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@80;IAMhaggler2012@81;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.092;114;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;IAMhaggler2012@82;TheFawkes@83;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
3.492;180;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;NiceTitForTat@84;TheFawkes@85;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.158;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@86;TheFawkes@87;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.154;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@88;TheFawkes@89;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
4.038;181;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Group8_BoaParty@90;NiceTitForTat@91;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.0;party1_utility.xml;party2_utility.xml
4.122;176;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;Yushu@92;NiceTitForTat@93;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
5.043;180;;180rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;SlavaAgent@94;NiceTitForTat@95;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;party1_utility.xml;party2_utility.xml
3.848;179;;180rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;TheNegotiatorReloaded@96;NiceTitForTat@97;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
0.043;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@98;NiceTitForTat@99;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
1.988;46;;180rounds;Yes;No;2;0.78500;0.88030;0.02381;0.04826;1.66530;IAMhaggler2012@100;NiceTitForTat@101;0.7850000000000001;0.8803024977828533;0.7850000000000001;0.8803024977828533;0.0;0.0;party1_utility.xml;party2_utility.xml
7.705;180;;180rounds;Yes;No;2;0.69004;0.69500;0.18674;0.25494;1.38504;NiceTitForTat@102;IAMhaggler2012@103;0.695;0.6900350139569214;0.695;0.6900350139569214;0.0;0.0;party1_utility.xml;party2_utility.xml
3.149;181;;180rounds;Yes;No;2;0.72181;0.86583;0.02068;0.22200;1.58764;Gahboninho@104;IAMhaggler2012@105;0.8658333333333332;0.7218053051923241;0.8658333333333332;0.7218053051923241;0.0;0.0;party1_utility.xml;party2_utility.xml
2.988;172;;180rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;KLH@106;IAMhaggler2012@107;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;party1_utility.xml;party2_utility.xml
0.639;179;;180rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;Group8_BoaParty@108;Gahboninho@109;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.0;party1_utility.xml;party2_utility.xml
0.811;179;;180rounds;Yes;No;2;0.72167;0.97619;0.00000;0.07924;1.69786;Yushu@110;Gahboninho@111;0.7216666666666667;0.9761884907982836;0.7216666666666667;0.9761884907982836;0.0;0.0;party1_utility.xml;party2_utility.xml
1.881;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;SlavaAgent@112;Gahboninho@113;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.610;181;;180rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;TheNegotiatorReloaded@114;Gahboninho@115;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.013;4;;180rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheFawkes@116;Gahboninho@117;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
